[2025-09-17T22:25:37.162+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2726, completion-tokens, 131, total-tokens, 2857, cost-ms, 7377, requestId, ef06393e-3655-4b72-b1d8-a2100edd481c
[2025-09-17T22:25:44.701+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2776, completion-tokens, 96, total-tokens, 2872, cost-ms, 5976, requestId, 103fccd9-17f7-42d8-9ad9-d8bf937ea912
[2025-09-17T22:25:52.087+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1661, completion-tokens, 75, total-tokens, 1736, cost-ms, 3289, requestId, 4b0f2e5d-5dd5-4bf8-902f-51358c1f2b8a
[2025-09-17T22:33:35.109+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2726, completion-tokens, 133, total-tokens, 2859, cost-ms, 5495, requestId, 3a10d185-451b-4f12-a2a0-40f332d7719b
[2025-09-17T22:33:41.150+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2774, completion-tokens, 134, total-tokens, 2908, cost-ms, 4395, requestId, d8e70bb4-086f-4011-859f-0f2ce7edfde9
[2025-09-17T22:33:48.798+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1661, completion-tokens, 60, total-tokens, 1721, cost-ms, 3213, requestId, 93179f18-ed54-4307-908a-af9962ceb643
[2025-09-17T22:36:23.448+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2731, completion-tokens, 144, total-tokens, 2875, cost-ms, 7969, requestId, 347123b2-9d4f-4a07-b6fa-d781b9acee5f
[2025-09-17T22:36:28.957+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2784, completion-tokens, 81, total-tokens, 2865, cost-ms, 3689, requestId, c6fd67a7-086b-4aa0-ace8-bddce136c69f
[2025-09-17T22:36:33.508+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2729, completion-tokens, 110, total-tokens, 2839, cost-ms, 4097, requestId, 7e728b96-6453-4c94-8ba7-028ca987cbc3
[2025-09-17T22:36:41.427+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2726, completion-tokens, 126, total-tokens, 2852, cost-ms, 4801, requestId, b1f8bf15-65e3-4957-804a-e7f4fb6f5c6c
[2025-09-17T22:36:50.108+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2731, completion-tokens, 150, total-tokens, 2881, cost-ms, 7538, requestId, 9482b353-1029-4d5e-967f-b0d9977cad6e
[2025-09-17T22:36:56.308+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2787, completion-tokens, 90, total-tokens, 2877, cost-ms, 4380, requestId, 2b0ada5d-e3eb-4caa-8dd6-2091658f79cc
[2025-09-17T22:37:00.367+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1517, completion-tokens, 45, total-tokens, 1562, cost-ms, 3664, requestId, c3272f90-fa12-4232-8bb5-d946c606c250
[2025-09-17T22:37:04.593+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 1520, completion-tokens, 35, total-tokens, 1555, cost-ms, 3349, requestId, 94e3a559-63f9-4de2-afd1-079b9ab15095
[2025-09-18T10:38:49.368+08:00] model, qwen-vl-max-latest, mode, qwen-vl, ui-tars-version, undefined, prompt-tokens, 2731, completion-tokens, 140, total-tokens, 2871, cost-ms, 4928, requestId, 7a65e735-7155-4d4f-bdd9-6853e641d542
